Replicate,File Name,Acquired Time,Group,SampleGroup,Replicates,Run Order,Group Order
01,01.raw,11/21/2021 10:59:33 AM,Sample,Sample,1,1,1
02,02.raw,11/21/2021 1:45:09 PM,Sample,Sample,2,2,2
03,03.raw,11/21/2021 4:38:35 PM,Sample,Sample,3,3,3
04,04.raw,11/21/2021 7:19:43 PM,Sample,Sample,4,4,4
05,05.raw,11/21/2021 10:05:30 PM,Sample,Sample,5,5,5
06,06.raw,11/22/2021 2:45:13 AM,Sample,Sample,6,6,6
07,07.raw,11/22/2021 5:41:57 AM,Sample,Sample,7,7,7
08,08.raw,11/22/2021 11:32:39 PM,Sample,Sample,8,8,8
09,09.raw,11/23/2021 1:48:38 AM,Sample,Sample,9,9,9
10,10.raw,11/23/2021 4:04:44 AM,Sample,Sample,10,10,10
11,11.raw,11/23/2021 6:22:12 AM,Sample,Sample,11,11,11
12,12.raw,11/23/2021 8:37:15 AM,Sample,Sample,12,12,12
13,13.raw,11/23/2021 10:52:59 AM,Sample,Sample,13,13,13
14,14.raw,11/23/2021 1:08:03 PM,Sample,Sample,14,14,14
15,15.raw,11/23/2021 3:20:38 PM,Sample,Sample,15,15,15
