Replicate,File Name,Acquired Time,Group,SampleGroup,ForFigure
SS01,SS01.raw,8/16/2021 5:57:46 PM,Batch1,System Suitability,True
SS02,SS02.raw,8/16/2021 7:01:16 PM,Batch1,System Suitability,True
SS03,SS03.raw,8/16/2021 8:05:08 PM,Batch1,System Suitability,True
SS04,SS04.raw,8/16/2021 9:09:01 PM,Batch1,System Suitability,True
SS05,SS05.raw,8/17/2021 4:12:50 PM,Batch1,System Suitability,True
SS06,SS06.raw,8/18/2021 11:19:52 AM,Batch1,System Suitability,True
SS07,SS07.raw,8/18/2021 12:29:08 PM,Batch1,System Suitability,False
SS08,SS08.raw,8/18/2021 1:33:56 PM,Batch1,System Suitability,False
SS09,SS09.raw,8/18/2021 2:38:41 PM,Batch1,System Suitability,False
SS10,SS10.raw,8/18/2021 3:43:27 PM,Batch1,System Suitability,True
SS11,SS11.raw,8/18/2021 4:48:17 PM,Batch1,System Suitability,False
SS12,SS12.raw,8/18/2021 5:53:01 PM,Batch1,System Suitability,False
SS13,SS13.raw,8/18/2021 6:57:49 PM,Batch1,System Suitability,False
SS14,SS14.raw,8/18/2021 9:30:45 PM,Batch1,System Suitability,True
SS15,SS15.raw,8/18/2021 10:35:43 PM,Batch1,System Suitability,False
SS16,SS16.raw,8/18/2021 11:40:43 PM,Batch1,System Suitability,False
SS17,SS17.raw,8/19/2021 12:45:49 AM,Batch1,System Suitability,True
SS18,SS18.raw,10/12/2021 5:12:58 PM,Batch2,System Suitability,True
SS19,SS19.raw,10/12/2021 6:16:54 PM,Batch2,System Suitability,True
SS20,SS20.raw,10/12/2021 7:20:49 PM,Batch2,System Suitability,True
SS21,SS21.raw,10/12/2021 8:24:41 PM,Batch2,System Suitability,True
SS22,SS22.raw,10/29/2021 3:15:24 PM,Batch3,System Suitability,True
SS23,SS23.raw,10/29/2021 4:19:23 PM,Batch3,System Suitability,True
SS24,SS24.raw,10/29/2021 5:23:19 PM,Batch3,System Suitability,True
SS25,SS25.raw,10/29/2021 6:27:07 PM,Batch3,System Suitability,True
SS26,SS26.raw,10/30/2021 1:28:15 PM,Batch3,System Suitability,True
SS27,SS27.raw,10/31/2021 8:31:06 AM,Batch3,System Suitability,False
SS28,SS28.raw,10/31/2021 11:04:42 PM,Batch3,System Suitability,False
SS29,SS29.raw,11/1/2021 3:54:21 PM,Batch3,System Suitability,False
SS30,SS30.raw,11/2/2021 10:59:24 AM,Batch3,System Suitability,False
SS31,SS31.raw,11/3/2021 1:35:07 AM,Batch3,System Suitability,False
SS32,SS32.raw,11/3/2021 6:26:20 PM,Batch3,System Suitability,False
SS33,SS33.raw,11/4/2021 1:33:05 PM,Batch3,System Suitability,False
SS34,SS34.raw,11/4/2021 4:43:50 PM,Batch3,System Suitability,False
SS35,SS35.raw,11/5/2021 7:22:32 AM,Batch3,System Suitability,False
SS36,SS36.raw,11/5/2021 9:02:56 AM,Batch3,System Suitability,False
SS37,SS37.raw,11/6/2021 1:57:36 AM,Batch3,System Suitability,True
SS38,SS38.raw,12/1/2021 11:51:11 AM,Batch4,System Suitability,True
SS39,SS39.raw,12/1/2021 1:01:25 PM,Batch4,System Suitability,True
SS40,SS40.raw,12/1/2021 2:11:37 PM,Batch4,System Suitability,True
SS41,SS41.raw,12/1/2021 3:21:50 PM,Batch4,System Suitability,True
SS42,SS42.raw,12/2/2021 10:58:40 AM,Batch4,System Suitability,True
SS43,SS43.raw,12/3/2021 6:47:21 AM,Batch4,System Suitability,True
SS44,SS44.raw,12/3/2021 9:57:37 PM,Batch4,System Suitability,False
SS45,SS45.raw,12/4/2021 3:24:12 PM,Batch4,System Suitability,True
SS46,SS46.raw,12/5/2021 11:11:18 AM,Batch4,System Suitability,True
SS47,SS47.raw,12/6/2021 2:20:51 AM,Batch4,System Suitability,False
SS48,SS48.raw,12/6/2021 7:51:42 PM,Batch4,System Suitability,False
