FigureOrder,RunOrder,File Name,Abbreviation,Group,PlotGrouping
1,1,SS01.raw,SS001,SS,1_SS
2,2,SS02.raw,SS002,SS,1_SS
3,3,SS03.raw,SS003,SS,1_SS
4,4,SS04.raw,SS004,SS,1_SS
5,5,IQC01.raw,IQC001,IQC,1_IQC
6,7,IQC03.raw,IQC003,IQC,1_IQC
7,9,IQC05.raw,IQC005,IQC,1_IQC
8,11,IQC07.raw,IQC007,IQC,1_IQC
9,13,SS05.raw,SS005,SS,2_SS
10,14,IQC09.raw,IQC009,IQC,2_IQC
11,16,IQC11.raw,IQC011,IQC,2_IQC
12,18,IQC13.raw,IQC013,IQC,2_IQC
13,20,IQC15.raw,IQC015,IQC,2_IQC
14,22,SS06.raw,SS006,SS,3_SS
15,26,SS10.raw,SS010,SS,3_SS
16,30,SS14.raw,SS014,SS,3_SS
17,33,SS17.raw,SS017,SS,3_SS
18,34,SS18.raw,SS018,SS,4_SS
19,35,SS19.raw,SS019,SS,4_SS
20,36,SS20.raw,SS020,SS,4_SS
21,37,SS21.raw,SS021,SS,4_SS
22,38,IQC17.raw,IQC017,IQC,3_IQC
23,40,IQC19.raw,IQC019,IQC,3_IQC
24,42,IQC21.raw,IQC021,IQC,3_IQC
25,44,IQC23.raw,IQC023,IQC,3_IQC
26,45,SS22.raw,SS022,SS,5_SS
27,46,SS23.raw,SS023,SS,5_SS
28,47,SS24.raw,SS024,SS,5_SS
29,48,SS25.raw,SS025,SS,5_SS
30,49,IQC24.raw,IQC024,IQC,4_IQC
31,51,IQC26.raw,IQC026,IQC,4_IQC
32,53,IQC28.raw,IQC028,IQC,4_IQC
33,55,IQC30.raw,IQC030,IQC,4_IQC
34,57,SS26.raw,SS026,SS,6_SS
35,58,Spacer.raw,Spacer,SS,7_SS
36,132,SS37.raw,SS037,SS,16_SS
37,133,IQC95.raw,IQC095,IQC,14_IQC
38,135,IQC97.raw,IQC097,IQC,14_IQC
39,137,IQC99.raw,IQC099,IQC,14_IQC
40,139,IQC101.raw,IQC101,IQC,14_IQC
41,141,IQC103.raw,IQC103,IQC,14_IQC
42,146,SS38.raw,SS038,SS,17_SS
43,147,SS39.raw,SS039,SS,17_SS
44,148,SS40.raw,SS040,SS,17_SS
45,149,SS41.raw,SS041,SS,17_SS
46,150,IQC108.raw,IQC108,IQC,15_IQC
47,152,IQC110.raw,IQC110,IQC,15_IQC
48,154,IQC112.raw,IQC112,IQC,15_IQC
49,156,IQC114.raw,IQC114,IQC,15_IQC
50,158,SS42.raw,SS042,SS,18_SS
51,159,IQC116.raw,IQC116,IQC,16_IQC
52,161,IQC118.raw,IQC118,IQC,16_IQC
53,163,IQC120.raw,IQC120,IQC,16_IQC
54,165,IQC122.raw,IQC122,IQC,16_IQC
55,167,SS43.raw,SS043,SS,19_SS
56,168,2ndSpace.raw,2ndSpace,SS,20_SS
57,183,SS45.raw,SS045,SS,22_SS
58,184,IQC137.raw,IQC137,IQC,19_IQC
59,186,IQC139.raw,IQC139,IQC,19_IQC
60,188,IQC141.raw,IQC141,IQC,19_IQC
61,190,IQC143.raw,IQC143,IQC,19_IQC
62,192,SS46.raw,SS046,SS,23_SS
