FigureOrder,Position_x,Position_y,Orientation,Note
1,-13.5,2.5,1,Jul 18: Turbo fails
2,-12.5,2.5,-1,"Jul 26: Turbo replaced, system cleaned"
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,11.75,2.5,2.2,"Oct 11-12: Remove shrapnel. Cleaned front optics, bent & q0 quads."
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,23,2.5,-1,Oct 22: Cleaned front optics. Calibrated.
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,44.8,2.5,1,Nov 16: Cleaned front optics. Calibrated.
42,45.35,2.5,-1,"Nov 28: Replace C-trap, clean, calibrate"
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
